trialNumber,trialType,speakerBlock,sentenceW,sentenceD,startStructure,targetStructure,targetImage,whichList,trialNumberWithList
5b,number_under,,Stack two yellow blocks on the middle square. Stack two green blocks directly in front of the yellow ones. Then stack red blocks directly in front of the green ones.,Stack 2 yellow blocks on the middle square. Stack 2 green blocks directly in front of the yellow ones. Then stack red blocks directly in front of the green ones.,,"Yellow,0,50,0;Yellow,0,150,0;Green,0,50,100;Green,0,150,100;Red,0,50,200;Red,0,150,200",5b_1.png,1,5b_1
6a,number_under,,"Build a row of three green blocks, starting from the middle square and going to the right. Build a blue stack of three blocks immediately to the right of the green row. Build a red stack to the right of the blue one.","Build a row of 3 green blocks, starting from the middle square and going to the right. Build a blue stack of 3 blocks immediately to the right of the green row. Build a red stack to the right of the blue one.",,"Green,0,50,0;Green,100,50,0;Green,200,50,0;Blue,300,50,0;Blue,300,150,0;Blue,300,250,0;Red,400,50,0;Red,400,150,0
",6a_1.png,1,6a_1
6b,number_under,,"Build a row of three green blocks, starting from the middle square and going to the right. Build a blue stack of three blocks immediately to the right of the green row. Build a red stack to the right of the blue one.","Build a row of 3 green blocks, starting from the middle square and going to the right. Build a blue stack of 3 blocks immediately to the right of the green row. Build a red stack to the right of the blue one.",,"Green,0,50,0;Green,100,50,0;Green,200,50,0;Blue,300,50,0;Blue,300,150,0;Blue,300,250,0;Red,400,50,0;Red,400,150,0;Red,400,250,0
",6b_1.png,1,6b_1
7a,number_under,,"Behind the rightmost blue block, build a red stack of three blocks. Build a yellow stack directly to the right of the red one.","Behind the rightmost blue block, build a red stack of 3 blocks. Build a yellow stack directly to the right of the red one.","Blue,0,50,0;Blue,-100,50,0;Blue,100,50,0","Blue,0,50,0;Blue,-100,50,0;Blue,100,50,0;Red,100,50,-100;Red,100,150,-100;Red,100,250,-100;Yellow,200,50,-100;Yellow,200,150,-100;Yellow,200,250,-100;Yellow,200,350,-100",7a_1.png,1,7a_1
7b,number_under,,"Behind the rightmost blue block, build a red stack of three blocks. Build a yellow stack directly to the right of the red one.","Behind the rightmost blue block, build a red stack of 3 blocks. Build a yellow stack directly to the right of the red one.","Blue,0,50,0;Blue,-100,50,0;Blue,100,50,0","Blue,0,50,0;Blue,-100,50,0;Blue,100,50,0;Red,100,50,-100;Red,100,150,-100;Red,100,250,-100;Yellow,200,50,-100;Yellow,200,150,-100;Yellow,200,250,-100",7b_1.png,1,7b_1
8a,number_under,,Stack three yellow blocks to the left of the existing purple stack. Build a blue stack in front of the yellow one.,Stack 3 yellow blocks to the left of the existing purple stack. Build a blue stack in front of the yellow one.,"Purple,0,50,0;Purple,0,150,0;Purple,0,250,0","Purple,0,50,0;Purple,0,150,0;Purple,0,250,0;Yellow,-100,50,0;Yellow,-100,150,0;Blue,-100,50,100;Blue,-100,150,100;Yellow,-100,250,0
",8a_1.png,1,8a_1
8b,number_under,,Stack three yellow blocks to the left of the existing purple stack. Build a blue stack in front of the yellow one.,Stack 3 yellow blocks to the left of the existing purple stack. Build a blue stack in front of the yellow one.,"Purple,0,50,0;Purple,0,150,0;Purple,0,250,0","Purple,0,50,0;Purple,0,150,0;Purple,0,250,0;Yellow,-100,50,0;Yellow,-100,150,0;Blue,-100,50,100;Blue,-100,150,100;Yellow,-100,250,0;Blue,-100,250,100
",8b_1.png,1,8b_1
17a,color_under,,"Starting from the highlighted square, place a horizontal row of three yellow blocks going towards the left side of the grid. Stack two blocks on top of the leftmost block.","Starting from the highlighted square, place a horizontal row of 3 yellow blocks going towards the left side of the grid. Stack 2 blocks on top of the leftmost block.",,"Yellow,0,50,0;Yellow,-100,50,0;Yellow,-200,50,0;Purple,-200,150,0;Purple,-200,250,0",17a_1.jpg,1,17a_1
17b,color_under,,"Starting from the highlighted square, place a horizontal row of three yellow blocks going towards the left side of the grid. Stack two blocks on top of the leftmost block.","Starting from the highlighted square, place a horizontal row of 3 yellow blocks going towards the left side of the grid. Stack 2 blocks on top of the leftmost block.",,"Yellow,0,50,0;Yellow,-100,50,0;Yellow,-200,50,0;Yellow,-200,150,0;Yellow,-200,250,0",17b_1.jpg,1,17b_1
18a,color_under,,Stack three blue blocks in front of the existing blue blocks. Then stack two blocks to the left of the tower you just built.,Stack 3 blue blocks in front of the existing blue blocks. Then stack 2 blocks to the left of the tower you just built.,"Blue,0,50,0;Blue,0,50,100","Blue,0,50,0;Blue,0,50,100;Blue,0,50,200;Blue,0,150,200;Blue,0,250,200;Green,-100,50,200;Green,-100,150,200",18a_1.jpg,1,18a_1
18b,color_under,,Stack three blue blocks in front of the existing blue blocks. Then stack two blocks to the left of the tower you just built.,Stack 3 blue blocks in front of the existing blue blocks. Then stack 2 blocks to the left of the tower you just built.,"Blue,0,50,0;Blue,0,50,100","Blue,0,50,0;Blue,0,50,100;Blue,0,50,200;Blue,0,150,200;Blue,0,250,200;Blue,-100,150,200;Blue,-100,50,200",18b_1.jpg,1,18b_1
19a,number_under,,Stack three green blocks behind the existing green block. Build a yellow stack to the right of the green one.,Stack 3 green blocks behind the existing green block. Build a yellow stack to the right of the green one.,"Green,0,50,0","Green,0,50,0;Green,0,50,-100;Green,0,150,-100;Green,0,250,-100;Yellow,100,50,-100;Yellow,100,150,-100;Yellow,100,250,-100;Yellow,100,350,-100",19a_1.jpg,1,19a_1
19b,number_under,,Stack three green blocks behind the existing green block. Build a yellow stack to the right of the green one.,Stack 3 green blocks behind the existing green block. Build a yellow stack to the right of the green one.,"Green,0,50,0","Green,0,50,0;Green,0,50,-100;Green,0,150,-100;Green,0,250,-100;Yellow,100,50,-100;Yellow,100,150,-100;Yellow,100,250,-100",19b_1.jpg,1,19b_1
20a,number_under,,Build a yellow stack of three blocks to the left of the the existing block. Build a green stack to the left of the yellow stack. ,Build a yellow stack of 3 blocks to the left of the the existing block. Build a green stack to the left of the yellow stack. ,"Yellow,400,50,0","Yellow,400,50,0;Yellow,300,50,0;Yellow,300,150,0;Yellow,300,250,0;Green,200,50,0;Green,200,150,0",20a_1.jpg,1,20a_1
20b,number_under,,Build a yellow stack of three blocks to the left of the the existing block. Build a green stack to the left of the yellow stack. ,Build a yellow stack of 3 blocks to the left of the the existing block. Build a green stack to the left of the yellow stack. ,"Yellow,400,50,0","Yellow,400,50,0;Yellow,300,50,0;Yellow,300,150,0;Yellow,300,250,0;Green,200,50,0;Green,200,150,0;Green,200,250,0",20b_1.jpg,1,20b_1
